city,区/市/县/旗,基站标识eNodeBID,小区标识（CellID）,k,基站中文名,扇区中文名,longitude,latitude,站点类型,设备厂家,扇区覆盖区域类型,农村/城区大类,物理小区标识(PCI),TAC,频段指示,天线方位角（度）,数据最近更新日期,id,tf, 
新余市,分宜县,471277,18,471277_18,XY_HMNB_XT_分宜县广府御景$F1FD_W,XY_HM_W_XT_分宜县广府御景$F1FD-5,114.6829,27.8196,宏站,华为,县城,城区,186,29725,5,140,2017/9/29 0:00,99622,城市, 
新余市,分宜县,471277,19,471277_19,XY_HMNB_XT_分宜县广府御景$F1FD_W,XY_HM_W_XT_分宜县广府御景$F1FD-6,114.6829,27.8196,宏站,华为,县城,城区,188,29725,5,270,2017/9/29 0:00,99623,城市, 
新余市,分宜县,471349,17,471349_17,XY_HM_XT_分宜县江西锂厂$F1FX_W,XY_HM_W_XT_分宜县江西锂厂$F1FX-4,114.67241,27.78852,宏站,华为,农村,农村,31,29442,5,40,2017/9/29 0:00,99624,农村, 
新余市,分宜县,471349,18,471349_18,XY_HM_XT_分宜县江西锂厂$F1FX_W,XY_HM_W_XT_分宜县江西锂厂$F1FX-5,114.67241,27.78852,宏站,华为,农村,农村,30,29442,5,160,2017/9/29 0:00,99625,农村, 
新余市,分宜县,471349,19,471349_19,XY_HM_XT_分宜县江西锂厂$F1FX_W,XY_HM_W_XT_分宜县江西锂厂$F1FX-6,114.67241,27.78852,宏站,华为,农村,农村,32,29442,5,280,2017/9/29 0:00,99626,农村, 
新余市,分宜县,471187,17,471187_17,XY_HM_XT_分宜钤山桥边村$F2QS_W,XY_HM_W_XT_分宜县钤山桥边村$F2QS-4,114.65678,27.60258,宏站,华为,农村,农村,216,29461,5,150,2017/9/29 0:00,99627,农村, 
新余市,分宜县,471187,18,471187_18,XY_HM_XT_分宜钤山桥边村$F2QS_W,XY_HM_W_XT_分宜县钤山桥边村$F2QS-5,114.65678,27.60258,宏站,华为,农村,农村,217,29461,5,250,2017/9/29 0:00,99628,农村, 
新余市,分宜县,471187,19,471187_19,XY_HM_XT_分宜钤山桥边村$F2QS_W,XY_HM_W_XT_分宜县钤山桥边村$F2QS-6,114.65678,27.60258,宏站,华为,农村,农村,218,29461,5,320,2017/9/29 0:00,99629,农村, 
新余市,分宜县,471274,17,471274_17,XY_HMNB_XT_分宜县司法局$F1FX_W,XY_HM_W_XT_分宜县司法局$F1FX-4,114.6646,27.81672,宏站,华为,县城,城区,469,29725,5,40,2017/9/29 0:00,99630,城市, 
新余市,分宜县,471274,18,471274_18,XY_HMNB_XT_分宜县司法局$F1FX_W,XY_HM_W_XT_分宜县司法局$F1FX-5,114.6646,27.81672,宏站,华为,县城,城区,468,29725,5,220,2017/9/29 0:00,99631,城市, 
新余市,分宜县,471274,19,471274_19,XY_HMNB_XT_分宜县司法局$F1FX_W,XY_HM_W_XT_分宜县司法局$F1FX-6,114.6646,27.81672,宏站,华为,县城,城区,470,29725,5,320,2017/9/29 0:00,99632,城市, 
新余市,分宜县,471284,17,471284_17,XY_HMNB_XT_分宜县县啤酒厂$F1FX_W,XY_HM_W_XT_分宜县县啤酒厂$F1FX-4,114.668,27.8292,宏站,华为,县城,城区,263,29441,5,0,2017/9/29 0:00,99633,农村, 
新余市,分宜县,471284,18,471284_18,XY_HMNB_XT_分宜县县啤酒厂$F1FX_W,XY_HM_W_XT_分宜县县啤酒厂$F1FX-5,114.668,27.8292,宏站,华为,县城,城区,262,29441,5,120,2017/9/29 0:00,99634,农村, 
新余市,分宜县,471284,19,471284_19,XY_HMNB_XT_分宜县县啤酒厂$F1FX_W,XY_HM_W_XT_分宜县县啤酒厂$F1FX-6,114.668,27.8292,宏站,华为,县城,城区,261,29441,5,220,2017/9/29 0:00,99635,农村, 
新余市,分宜县,471273,17,471273_17,XY_HMNB_XT_分宜县香竹坑$F1FX_W,XY_HM_W_XT_分宜县香竹坑$F1FX-4,114.652,27.8021,宏站,华为,县城,城区,28,29440,5,0,2017/9/29 0:00,99636,城市, 
新余市,分宜县,471273,18,471273_18,XY_HMNB_XT_分宜县香竹坑$F1FX_W,XY_HM_W_XT_分宜县香竹坑$F1FX-5,114.652,27.8021,宏站,华为,县城,城区,29,29440,5,80,2017/9/29 0:00,99637,城市, 
